,Method name: BCA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,Application: SparkControl,,,,V3.1,,,,,,,,,,,,,,,,,,,,,
1,Device: Spark,,,,Serial number: 2010000103,,,,,,,,,,,,,,,,,,,,,
2,Firmware:,,,,LUM:V5.2.4|ABS:V4.3.2|ABS_MEX:V5.1.1|USBCAM:V4.90.34|CELL:V4.1.4|MTP:V14.2.11|FLUOR:V5.1.4|FLUOR_FP:V5.0.2|FLUOR_BOTTOM:V5.0.2|FLUOR_MEM:V5.1.1|FLUOR_MEX:V5.1.1|PODI:V1.11.2,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Date:,,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,
5,Time:,,,,4:12 PM,,,,,,,,,,,,,,,,,,,,,
6,System,,,,DESKTOP-DPT6CIH,,,,,,,,,,,,,,,,,,,,,
7,User,,,,DESKTOP-DPT6CIH\Nomura Lab,,,,,,,,,,,,,,,,,,,,,
8,Plate,,,,[COR96fc UV transparent] - Corning 96 Flat Transparent Cat. No.: 3635,,,,,,,,,,,,,,,,,,,,,
9,Lid lifter,,,,No lid,,,,,,,,,,,,,,,,,,,,,
10,Humidity Cassette,,,,No humidity cassette,,,,,,,,,,,,,,,,,,,,,
11,Smooth mode,,,,Not selected,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,List of actions in this measurement script:,,,,,,,,,,,,,,,,,,,,,,,,,
14,Plate,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Absorbance,,,,,BCA,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Name,,,,COR96fc UV transparent,,,,,,,,,,,,,,,,,,,,,
18,Plate layout,,,,,,,,,,,,,,,,,,,,,,,,,
19,Plate area,,,,A1-H12,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mode,Absorbance,,,,,,,,,,,,,,,,,,,,,,,,
22,Name,BCA,,,,,,,,,,,,,,,,,,,,,,,,
23,Measurement wavelength [nm],,,,562,,,,,,,,,,,,,,,,,,,,,
24,Number of flashes,,,,10,,,,,,,,,,,,,,,,,,,,,
25,Settle time [ms],,,,50,,,,,,,,,,,,,,,,,,,,,
26,Part of Plate,,,,A1-H12,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Start Time,,,,2022-09-23 16:12:03,,,,,,,,,,,,,,,,,,,,,
29,Temperature [°C],,,,27.5,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,
31,<>,1,2.0,3.0,4,5.0,6,7.0,8.0,9.0,10.0,11.0,12.0,<>,1.0,2.0,3,4,5,6.0,7.0,8.0,9,10,11,12.0
32,A,0.6754,0.6287,0.4272,0.3197,0.4498,0.1487,0.1564,0.1575,0.2546,0.2868,0.2366,0.0521,A,,,D,D,D,247.0,247.0,247.0,IBR,IBR,IBR,
33,B,0.5174,0.5018,0.3789,0.3184,0.484,0.1473,0.1814,0.1428,0.2735,0.2534,0.2397,0.0517,B,,,D,D,D,247.0,247.0,247.0,IBR,IBR,IBR,
34,C,0.3878,0.3787,0.0519,0.058,0.052,0.0514,0.0528,0.0526,0.0524,0.0518,0.0515,0.0535,C,,,,,,,,,,,,
35,D,0.3173,0.3049,0.0528,0.0523,0.0518,0.0519,0.0516,0.0518,0.0542,0.052,0.0515,0.0515,D,,,,,,,,,,,,
36,E,0.2339,0.2334,0.0512,0.0531,0.0517,0.0521,0.0519,0.0521,0.0531,0.053,0.0531,0.0519,E,,,,,,,,,,,,
37,F,0.1536,0.1545,0.0514,0.0523,0.0636,0.0524,0.0514,0.0522,0.054,0.0518,0.0534,0.0527,F,,,,,,,,,,,,
38,G,0.1236,0.1127,0.0518,0.0513,0.0532,0.0517,0.0516,0.0516,0.056,0.0524,0.0525,0.0537,G,,,,,,,,,,,,
39,H,0.0788,0.0798,0.0528,0.0537,0.0536,0.0523,0.0543,0.0518,0.052,0.0547,0.0911,0.1283,H,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,
42,End Time,,,,2022-09-23 16:12:26,,,,,,,,,,,,,,,,,,,,,
